sale_id,sale_date,customer_id,product_id,quantity_kg,selling_price_per_kg,cost_price_per_kg,amount_paid,total_amount,profit,outstanding
58,2025-07-11,25,3,5745.1,3.63,2.48,20599.42,20854.71,6606.86,255.29
59,2025-07-11,17,3,2552.3,3.57,2.44,3883.49,9111.71,2884.1,5228.22
60,2025-07-11,11,1,5882.7,4.43,3.18,17441.48,26060.36,7353.37,8618.88
61,2025-07-11,16,2,2229.4,4.09,2.62,4078.35,9118.25,3277.22,5039.9
62,2025-07-11,25,2,5632.5,4.08,2.67,22971.33,22980.6,7941.83,9.27
63,2025-07-11,14,2,2931.8,4.14,2.69,4653.31,12137.65,4251.11,7484.34
64,2025-07-11,1,6,4848.8,0.44,0.2,2131.25,2133.47,1163.71,2.22
65,2025-07-11,20,2,3739.5,3.93,2.74,14682.57,14696.24,4450.0,13.67
66,2025-07-12,17,4,3192.4,2.43,1.62,4244.3,7757.53,2585.84,3513.23
67,2025-07-12,18,5,1813.3,1.19,0.7,1653.74,2157.83,888.52,504.09
68,2025-07-12,12,5,4313.6,1.23,0.71,1525.82,5305.73,2243.07,3779.91
69,2025-07-12,22,2,1572.9,3.84,2.78,3466.69,6039.94,1667.27,2573.25
70,2025-07-12,25,1,3282.0,4.68,3.14,14717.5,15359.76,5054.28,642.26
71,2025-07-12,21,6,4860.5,0.45,0.2,2189.16,2187.22,1215.12,-1.94
72,2025-07-13,1,6,4335.6,0.47,0.2,1245.19,2037.73,1170.61,792.54
73,2025-07-13,10,1,2712.8,4.63,3.15,8441.62,12560.26,4014.94,4118.64
74,2025-07-13,9,2,1886.5,4.17,2.68,4018.86,7866.7,2810.88,3847.84
75,2025-07-13,13,2,1370.9,4.2,2.74,4382.14,5757.78,2001.51,1375.64
76,2025-07-13,20,2,2954.6,3.94,2.71,11652.72,11641.12,3634.16,-11.6
77,2025-07-13,24,3,4041.4,3.65,2.57,14754.45,14751.11,4364.71,-3.34
78,2025-07-14,12,6,6464.3,0.46,0.2,2246.57,2973.58,1680.72,727.01
79,2025-07-14,18,1,3097.4,4.86,3.03,14872.15,15053.36,5668.24,181.21
80,2025-07-14,19,5,4188.1,1.24,0.72,5177.02,5193.24,2177.81,16.22
81,2025-07-15,24,3,1427.8,3.81,2.47,3780.3,5439.92,1913.25,1659.62
82,2025-07-15,5,5,2831.4,1.15,0.7,2759.13,3256.11,1274.13,496.98
83,2025-07-15,12,1,2640.5,4.48,3.05,6471.2,11829.44,3775.92,5358.24
84,2025-07-15,15,4,4283.8,2.44,1.63,6785.1,10452.47,3469.88,3667.37
85,2025-07-15,22,4,5220.8,2.31,1.57,6120.16,12060.05,3863.39,5939.89
86,2025-07-15,18,4,2517.2,2.31,1.63,5346.58,5814.73,1711.7,468.15
87,2025-07-16,20,4,855.5,2.33,1.62,1990.6,1993.32,607.4,2.72
88,2025-07-16,2,3,5197.7,3.64,2.53,14302.67,18919.63,5769.45,4616.96
89,2025-07-17,11,1,3587.9,4.78,3.09,7849.27,17150.16,6063.55,9300.89
90,2025-07-17,21,1,3034.2,4.63,3.17,14047.3,14048.35,4429.93,1.05
91,2025-07-17,4,6,2730.2,0.46,0.19,1151.4,1255.89,737.15,104.49
92,2025-07-17,16,2,5377.9,3.94,2.63,12333.28,21188.93,7045.05,8855.65
93,2025-07-17,23,1,2438.0,4.46,3.12,4961.66,10873.48,3266.92,5911.82
94,2025-07-18,20,5,2457.8,1.24,0.7,3054.33,3047.67,1327.21,-6.66
95,2025-07-18,23,6,4547.6,0.44,0.2,1260.28,2000.94,1091.42,740.66
96,2025-07-18,6,4,921.6,2.22,1.6,1670.67,2045.95,571.39,375.28
97,2025-07-18,19,4,3746.0,2.4,1.57,7228.84,8990.4,3109.18,1761.56
98,2025-07-18,5,2,3407.5,4.0,2.63,8918.08,13630.0,4668.28,4711.92
99,2025-07-19,3,3,6794.1,3.78,2.55,12454.97,25681.7,8356.74,13226.73
100,2025-07-19,20,1,4834.5,4.87,3.1,23542.57,23544.02,8557.06,1.45
101,2025-07-19,1,6,4476.0,0.47,0.2,1779.29,2103.72,1208.52,324.43
102,2025-07-19,10,6,5883.7,0.45,0.19,1834.35,2647.66,1529.76,813.31
103,2025-07-19,13,5,4011.9,1.19,0.71,3998.01,4774.16,1925.71,776.15
104,2025-07-19,9,3,1981.0,3.52,2.46,1392.87,6973.12,2099.86,5580.25
105,2025-07-19,8,5,3778.8,1.26,0.7,2815.66,4761.29,2116.13,1945.63
106,2025-07-20,11,4,2603.9,2.29,1.62,3917.99,5962.93,1744.61,2044.94
107,2025-07-20,6,4,4882.9,2.3,1.57,8855.38,11230.67,3564.52,2375.29
108,2025-07-20,15,6,2325.3,0.46,0.2,919.3,1069.64,604.58,150.34
109,2025-07-20,10,3,3001.0,3.51,2.48,5630.45,10533.51,3091.03,4903.06
110,2025-07-20,19,5,4735.1,1.17,0.72,5020.5,5540.07,2130.8,519.57
111,2025-07-20,18,1,3043.5,4.72,3.11,12741.47,14365.32,4900.04,1623.85
112,2025-07-20,10,2,4801.0,3.86,2.71,14117.76,18531.86,5521.15,4414.1
113,2025-07-21,11,4,1153.7,2.34,1.64,1659.2,2699.66,807.59,1040.46
114,2025-07-21,11,6,3085.5,0.44,0.2,951.14,1357.62,740.52,406.48
115,2025-07-21,6,2,3192.2,3.86,2.73,7726.87,12321.89,3607.19,4595.02
116,2025-07-21,17,3,2514.7,3.51,2.52,3030.02,8826.6,2489.55,5796.58
117,2025-07-21,5,1,2203.0,4.49,3.16,7207.24,9891.47,2929.99,2684.23
118,2025-07-21,17,4,1869.3,2.25,1.62,1775.22,4205.92,1177.66,2430.7
119,2025-07-21,23,4,2899.8,2.33,1.63,3326.96,6756.53,2029.86,3429.57
120,2025-07-21,19,1,4144.6,4.49,3.12,14295.42,18609.25,5678.1,4313.83
121,2025-07-22,20,6,6014.0,0.47,0.2,2644.46,2826.58,1623.78,182.12
122,2025-07-22,24,1,4446.4,4.46,3.08,19840.87,19830.94,6136.03,-9.93
123,2025-07-22,5,5,3377.8,1.21,0.69,3975.59,4087.14,1756.46,111.55
124,2025-07-22,23,2,4412.9,3.85,2.68,8056.6,16989.66,5163.09,8933.06
125,2025-07-23,22,1,3232.0,4.5,3.06,10715.69,14544.0,4654.08,3828.31
126,2025-07-23,10,2,901.3,4.22,2.76,2099.88,3803.49,1315.9,1703.61
127,2025-07-24,15,2,4664.6,3.96,2.64,8539.49,18471.82,6157.27,9932.33
128,2025-07-24,17,6,2790.7,0.47,0.2,735.56,1311.63,753.49,576.07
129,2025-07-25,25,4,4818.7,2.35,1.58,11331.99,11323.94,3710.4,-8.05
130,2025-07-25,16,6,1976.4,0.44,0.2,378.83,869.62,474.34,490.79
131,2025-07-25,2,2,1590.8,4.23,2.68,4706.04,6729.08,2465.74,2023.04
132,2025-07-25,18,5,1670.5,1.18,0.72,1463.14,1971.19,768.43,508.05
133,2025-07-26,20,5,200.0,1.23,0.68,237.66,246.0,110.0,8.34
134,2025-07-26,15,3,3258.1,3.68,2.49,9445.32,11989.81,3877.14,2544.49
135,2025-07-26,24,2,3869.0,4.06,2.63,15137.56,15708.14,5532.67,570.58
136,2025-07-26,22,1,2002.0,4.73,3.01,4495.54,9469.46,3443.44,4973.92
137,2025-07-26,6,2,4503.1,3.92,2.72,16262.09,17652.15,5403.72,1390.06
138,2025-07-26,6,2,4265.7,4.05,2.69,15719.02,17276.08,5801.35,1557.06
139,2025-07-27,20,1,4160.6,4.82,3.18,19656.23,20054.09,6823.38,397.86
140,2025-07-27,9,4,2340.0,2.35,1.56,2948.45,5499.0,1848.6,2550.55
141,2025-07-28,8,4,2846.4,2.42,1.6,3830.73,6888.29,2334.05,3057.56
142,2025-07-28,14,6,3484.7,0.46,0.2,1049.22,1602.96,906.02,553.74
143,2025-07-28,3,1,3896.0,4.71,3.14,8215.96,18350.16,6116.72,10134.2
144,2025-07-29,11,1,1118.2,4.82,3.03,3106.94,5389.72,2001.58,2282.78
145,2025-07-29,23,3,4140.0,3.62,2.52,13135.24,14986.8,4554.0,1851.56
146,2025-07-29,1,5,1682.8,1.26,0.69,1467.96,2120.33,959.2,652.37
147,2025-07-29,25,3,3268.0,3.82,2.51,12469.19,12483.76,4281.08,14.57
148,2025-07-29,19,2,2649.8,4.16,2.67,9772.57,11023.17,3948.2,1250.6
149,2025-07-29,4,3,5199.4,3.79,2.53,19681.2,19705.73,6551.24,24.53
150,2025-07-29,17,5,3070.4,1.27,0.69,1675.25,3899.41,1780.83,2224.16
151,2025-07-29,3,5,4818.1,1.19,0.68,3210.83,5733.54,2457.23,2522.71
152,2025-07-30,2,2,2124.1,4.17,2.74,3577.17,8857.5,3037.46,5280.33
153,2025-07-30,17,4,2734.9,2.33,1.56,2642.25,6372.32,2105.87,3730.07
154,2025-07-30,24,3,4354.0,3.53,2.52,14185.54,15369.62,4397.54,1184.08
155,2025-07-30,10,5,3867.9,1.24,0.69,2032.89,4796.2,2127.35,2763.31
156,2025-07-30,8,4,4996.3,2.29,1.63,8447.75,11441.53,3297.56,2993.78
157,2025-07-30,11,3,3614.7,3.65,2.5,8817.59,13193.66,4156.9,4376.07
158,2025-07-30,25,2,1634.7,3.86,2.65,5632.04,6309.94,1977.99,677.9
159,2025-07-31,24,6,3305.6,0.44,0.2,1210.6,1454.46,793.34,243.86
160,2025-07-31,13,6,2832.4,0.47,0.2,1277.88,1331.23,764.75,53.35
161,2025-07-31,19,1,4886.0,4.82,3.18,11337.84,23550.52,8013.04,12212.68
162,2025-08-01,6,4,3681.2,2.34,1.63,4717.56,8614.01,2613.65,3896.45
163,2025-08-01,20,6,5062.1,0.44,0.2,1537.55,2227.32,1214.9,689.77
164,2025-08-02,14,6,4090.8,0.44,0.2,1372.29,1799.95,981.79,427.66
165,2025-08-02,20,5,2004.9,1.27,0.71,1742.86,2546.22,1122.74,803.36
166,2025-08-02,10,2,5924.8,3.88,2.66,11794.26,22988.22,7228.26,11193.96
167,2025-08-02,6,1,5082.3,4.73,3.07,19278.23,24039.28,8436.62,4761.05
168,2025-08-03,15,1,3373.1,4.51,3.04,10323.42,15212.68,4958.46,4889.26
169,2025-08-03,4,2,3234.0,3.97,2.65,12841.2,12838.98,4268.88,-2.22
170,2025-08-03,24,1,1921.2,4.83,3.04,8907.84,9279.4,3438.95,371.56
171,2025-08-03,21,3,4353.9,3.77,2.49,16425.05,16414.2,5572.99,-10.85
172,2025-08-03,19,6,4197.3,0.43,0.2,1694.82,1804.84,965.38,110.02
173,2025-08-04,22,1,2915.8,4.48,3.13,8084.37,13062.78,3936.33,4978.41
174,2025-08-04,21,6,3410.3,0.45,0.2,1527.51,1534.64,852.58,7.13
175,2025-08-04,16,5,3187.3,1.19,0.7,2020.7,3792.89,1561.78,1772.19
176,2025-08-04,9,1,2655.4,4.65,3.17,3928.42,12347.61,3929.99,8419.19
177,2025-08-04,13,6,1065.5,0.47,0.19,353.6,500.78,298.34,147.18
178,2025-08-04,9,5,1409.3,1.2,0.7,827.33,1691.16,704.65,863.83
179,2025-08-04,2,4,1833.7,2.39,1.61,3497.53,4382.54,1430.29,885.01
180,2025-08-04,18,6,3936.7,0.47,0.19,1831.31,1850.25,1102.28,18.94
181,2025-08-05,6,6,6637.1,0.44,0.2,2082.07,2920.32,1592.9,838.25
182,2025-08-05,17,6,5396.2,0.45,0.2,1527.89,2428.29,1349.05,900.4
183,2025-08-05,1,2,1867.0,3.86,2.62,7203.71,7206.62,2315.08,2.91
184,2025-08-05,15,2,2236.9,4.1,2.76,5118.45,9171.29,2997.45,4052.84
185,2025-08-05,12,6,2289.8,0.48,0.2,433.39,1099.1,641.14,665.71
186,2025-08-05,19,3,4939.3,3.59,2.54,10927.9,17732.09,5186.26,6804.19
187,2025-08-05,12,4,1413.8,2.42,1.58,1544.95,3421.4,1187.59,1876.45
188,2025-08-05,21,4,4253.7,2.31,1.59,9818.42,9826.05,3062.66,7.63
189,2025-08-06,7,1,2563.9,4.74,3.11,10476.06,12152.89,4179.16,1676.83
190,2025-08-06,8,2,2771.8,4.14,2.73,4537.67,11475.25,3908.24,6937.58
191,2025-08-06,17,3,1728.0,3.67,2.46,3015.33,6341.76,2090.88,3326.43
192,2025-08-06,7,6,3791.9,0.44,0.2,1651.41,1668.44,910.06,17.03
193,2025-08-06,16,6,6445.3,0.44,0.2,1411.35,2835.93,1546.87,1424.58
194,2025-08-06,7,4,6138.8,2.29,1.64,10825.0,14057.85,3990.22,3232.85
195,2025-08-06,18,4,5606.5,2.28,1.61,12431.51,12782.82,3756.35,351.31
196,2025-08-06,18,6,1078.7,0.47,0.2,511.05,506.99,291.25,-4.06
197,2025-08-07,10,6,1939.6,0.48,0.21,533.76,931.01,523.69,397.25
198,2025-08-07,5,5,2734.0,1.21,0.72,3303.41,3308.14,1339.66,4.73
199,2025-08-07,2,4,4716.1,2.34,1.63,10484.62,11035.67,3348.43,551.05
200,2025-08-08,9,2,3548.4,3.87,2.68,4471.95,13732.31,4222.6,9260.36
201,2025-08-08,22,6,1304.6,0.45,0.21,334.19,587.07,313.1,252.88
202,2025-08-08,11,5,3569.3,1.22,0.71,3274.57,4354.55,1820.34,1079.98
203,2025-08-08,8,1,4759.7,4.61,3.15,13318.51,21942.22,6949.16,8623.71
204,2025-08-09,6,5,3323.9,1.2,0.7,3257.97,3988.68,1661.95,730.71
205,2025-08-09,4,4,2722.8,2.32,1.6,5746.25,6316.9,1960.42,570.65
206,2025-08-09,1,1,4541.7,4.55,3.15,14944.09,20664.73,6358.38,5720.64
207,2025-08-09,18,3,1446.2,3.5,2.45,4196.96,5061.7,1518.51,864.74
208,2025-08-09,10,1,5007.4,4.44,3.17,18913.63,22232.86,6359.4,3319.23
209,2025-08-10,16,5,6739.6,1.23,0.7,2495.85,8289.71,3571.99,5793.86
210,2025-08-10,15,1,5742.8,4.71,3.1,23370.98,27048.59,9245.91,3677.61
211,2025-08-11,13,3,1587.8,3.48,2.54,4538.2,5525.54,1492.53,987.34
212,2025-08-11,17,1,5086.1,4.62,3.06,11581.95,23497.78,7934.32,11915.83
213,2025-08-11,5,4,4224.4,2.24,1.61,9452.35,9462.66,2661.37,10.31
214,2025-08-12,7,3,1680.8,3.77,2.49,2436.76,6336.62,2151.42,3899.86
215,2025-08-12,17,4,3349.7,2.26,1.56,4067.26,7570.32,2344.79,3503.06
216,2025-08-12,20,2,200.0,3.88,2.71,744.15,776.0,234.0,31.85
217,2025-08-12,23,5,1821.3,1.18,0.69,882.85,2149.13,892.44,1266.28
218,2025-08-13,21,3,1397.1,3.72,2.52,4862.94,5197.21,1676.52,334.27
219,2025-08-13,25,6,4527.7,0.44,0.2,1993.85,1992.19,1086.65,-1.66
220,2025-08-13,15,4,3850.1,2.36,1.56,5944.48,9086.24,3080.08,3141.76
221,2025-08-13,10,3,2923.8,3.66,2.53,5242.22,10701.11,3303.89,5458.89
222,2025-08-14,19,6,3424.9,0.44,0.2,1471.95,1506.96,821.98,35.01
223,2025-08-14,5,3,3062.0,3.54,2.46,10452.05,10839.48,3306.96,387.43
224,2025-08-14,13,5,2208.9,1.24,0.7,2015.84,2739.04,1192.81,723.2
225,2025-08-14,17,2,1891.6,3.94,2.72,4695.59,7452.9,2307.75,2757.31
226,2025-08-15,22,5,2591.5,1.22,0.69,1128.65,3161.63,1373.5,2032.98
227,2025-08-15,16,1,2818.1,4.79,3.03,7714.04,13498.7,4959.86,5784.66
228,2025-08-15,19,1,5829.2,4.53,3.1,13807.36,26406.28,8335.76,12598.92
229,2025-08-15,14,5,4118.2,1.27,0.7,2595.72,5230.11,2347.37,2634.39
230,2025-08-15,10,5,2605.9,1.21,0.69,2114.1,3153.14,1355.07,1039.04
231,2025-08-15,7,6,1751.0,0.44,0.2,653.71,770.44,420.24,116.73
232,2025-08-15,10,2,3602.9,4.0,2.67,11117.59,14411.6,4791.86,3294.01
233,2025-08-15,24,6,2532.6,0.46,0.2,1164.52,1165.0,658.48,0.48
234,2025-08-16,1,4,200.0,2.36,1.56,275.63,472.0,160.0,196.37
235,2025-08-16,5,3,4452.9,3.73,2.55,12273.74,16609.32,5254.42,4335.58
236,2025-08-16,25,5,2047.5,1.27,0.68,2595.35,2600.32,1208.02,4.97
237,2025-08-16,12,6,3587.1,0.45,0.21,961.58,1614.2,860.9,652.62
238,2025-08-16,19,5,3857.9,1.26,0.7,2933.85,4860.95,2160.42,1927.1
239,2025-08-17,17,1,3537.6,4.51,3.14,7872.06,15954.58,4846.51,8082.52
240,2025-08-17,9,1,2894.8,4.81,3.04,9552.36,13923.99,5123.8,4371.63
241,2025-08-17,2,6,3329.7,0.44,0.2,1084.4,1465.07,799.13,380.67
242,2025-08-17,19,2,3238.3,4.1,2.68,8668.42,13277.03,4598.39,4608.61
243,2025-08-17,23,6,1336.0,0.46,0.2,362.44,614.56,347.36,252.12
244,2025-08-17,4,5,998.5,1.15,0.69,1151.38,1148.27,459.31,-3.11
245,2025-08-18,2,6,3745.9,0.44,0.2,953.16,1648.2,899.02,695.04
246,2025-08-18,3,3,5683.1,3.48,2.44,10928.16,19777.19,5910.42,8849.03
247,2025-08-18,18,5,3679.0,1.24,0.69,4391.95,4561.96,2023.45,170.01
248,2025-08-19,6,2,2786.0,4.05,2.65,11270.36,11283.3,3900.4,12.94
249,2025-08-19,3,6,3549.0,0.44,0.2,1013.13,1561.56,851.76,548.43
250,2025-08-19,6,5,1827.3,1.16,0.69,1418.37,2119.67,858.83,701.3
251,2025-08-19,25,5,2612.3,1.18,0.72,2962.2,3082.51,1201.66,120.31
252,2025-08-19,15,2,1394.2,4.18,2.7,4752.87,5827.76,2063.42,1074.89
253,2025-08-20,22,6,5331.1,0.44,0.2,2061.35,2345.68,1279.46,284.33
254,2025-08-20,20,2,2596.6,4.02,2.74,9272.25,10438.33,3323.65,1166.08
255,2025-08-20,4,4,3325.3,2.3,1.65,7663.51,7648.19,2161.44,-15.32
256,2025-08-20,12,4,3405.7,2.3,1.59,3746.7,7833.11,2418.05,4086.41
257,2025-08-20,2,3,4877.6,3.52,2.47,8314.92,17169.15,5121.48,8854.23
258,2025-08-20,11,1,2061.0,4.58,3.02,4382.18,9439.38,3215.16,5057.2
259,2025-08-20,6,5,4920.6,1.17,0.72,1309.48,5757.1,2214.27,4447.62
260,2025-08-20,7,6,5953.2,0.46,0.2,2251.96,2738.47,1547.83,486.51
261,2025-08-20,17,4,2895.7,2.37,1.61,3285.85,6862.81,2200.73,3576.96
262,2025-08-20,6,3,5211.2,3.69,2.52,3840.73,19229.33,6097.1,15388.6
263,2025-08-20,21,6,3135.9,0.44,0.2,1378.63,1379.8,752.62,1.17
264,2025-08-21,20,4,200.0,2.28,1.64,411.54,456.0,128.0,44.46
265,2025-08-21,16,2,2800.1,4.05,2.75,4410.65,11340.4,3640.13,6929.75
266,2025-08-21,7,6,2980.8,0.46,0.2,1313.78,1371.17,775.01,57.39
267,2025-08-21,3,3,2502.9,3.63,2.55,5656.79,9085.53,2703.13,3428.74
268,2025-08-22,1,6,2728.7,0.46,0.21,891.28,1255.2,682.18,363.92
269,2025-08-23,19,3,1812.3,3.66,2.52,5150.39,6633.02,2066.02,1482.63
270,2025-08-23,11,2,3886.8,4.12,2.73,12613.85,16013.62,5402.65,3399.77
271,2025-08-23,22,2,3788.9,4.21,2.78,9598.31,15951.27,5418.13,6352.96
272,2025-08-24,3,6,5445.9,0.47,0.2,1604.47,2559.57,1470.39,955.1
273,2025-08-24,20,1,3302.8,4.8,3.1,13460.59,15853.44,5614.76,2392.85
274,2025-08-24,4,2,2841.5,4.02,2.62,11428.5,11422.83,3978.1,-5.67
275,2025-08-24,22,2,2670.1,3.91,2.7,5613.96,10440.09,3230.82,4826.13
276,2025-08-24,24,6,5141.8,0.45,0.2,2325.27,2313.81,1285.45,-11.46
277,2025-08-24,15,4,2555.2,2.25,1.56,3161.83,5749.2,1763.09,2587.37
278,2025-08-24,16,6,1990.4,0.45,0.2,373.4,895.68,497.6,522.28
279,2025-08-25,20,1,3579.6,4.68,3.19,15769.44,16752.53,5333.6,983.09
280,2025-08-25,17,4,2899.6,2.41,1.63,5240.51,6988.04,2261.69,1747.53
281,2025-08-25,14,5,556.2,1.17,0.69,355.47,650.75,266.98,295.28
282,2025-08-25,19,6,2628.1,0.47,0.2,1235.3,1235.21,709.59,-0.09
283,2025-08-25,18,2,4860.2,3.87,2.69,18710.33,18808.97,5735.04,98.64
284,2025-08-25,3,6,5001.9,0.46,0.21,1730.49,2300.87,1250.47,570.38
285,2025-08-25,13,1,1452.5,4.72,3.11,6059.81,6855.8,2338.52,795.99
286,2025-08-25,5,6,1538.3,0.45,0.19,685.59,692.24,399.96,6.65
287,2025-08-25,16,2,3882.1,4.23,2.66,5025.54,16421.28,6094.9,11395.74
288,2025-08-25,12,3,3724.7,3.47,2.43,8130.95,12924.71,3873.69,4793.76
289,2025-08-26,19,3,4827.6,3.5,2.47,16916.29,16896.6,4972.43,-19.69
290,2025-08-26,10,5,1471.0,1.21,0.69,1069.69,1779.91,764.92,710.22
291,2025-08-26,7,5,5495.1,1.21,0.71,4656.91,6649.07,2747.55,1992.16
292,2025-08-26,25,6,3856.8,0.45,0.2,1659.28,1735.56,964.2,76.28
293,2025-08-26,16,1,6896.3,4.49,3.17,14030.73,30964.39,9103.12,16933.66
294,2025-08-26,12,6,2871.7,0.48,0.2,586.91,1378.42,804.08,791.51
295,2025-08-26,9,1,1576.8,4.83,3.12,2262.6,7615.94,2696.33,5353.34
296,2025-08-27,2,4,2248.5,2.23,1.61,2930.5,5014.16,1394.07,2083.66
297,2025-08-27,18,2,2541.5,4.19,2.74,8214.74,10648.88,3685.18,2434.14
298,2025-08-27,8,6,5563.3,0.45,0.2,1199.53,2503.48,1390.82,1303.95
299,2025-08-27,16,6,4958.4,0.47,0.21,648.65,2330.45,1289.18,1681.8
300,2025-08-27,8,2,2981.3,3.87,2.68,7114.15,11537.63,3547.75,4423.48
301,2025-08-28,22,6,230.3,0.45,0.2,63.7,103.64,57.58,39.94
302,2025-08-28,22,2,4063.6,4.15,2.72,8090.23,16863.94,5810.95,8773.71
303,2025-08-28,1,3,1709.1,3.67,2.45,3720.99,6272.4,2085.1,2551.41
304,2025-08-28,16,5,5185.7,1.17,0.7,3426.45,6067.27,2437.28,2640.82
305,2025-08-28,1,4,2634.0,2.32,1.6,3350.62,6110.88,1896.48,2760.26
306,2025-08-29,15,5,3892.4,1.2,0.69,3762.34,4670.88,1985.12,908.54
